Observation ID,Organization,Dataset,Location name,Body of water,Latitude,Longitude,Region,Country,Water body type,Number of readings,Owner name,Date,Time,Timezone,Added at,Form,Notes,QA status,QA notes,"ph (std_units, api_saltwater_ph)","oxygen (mg_l, ysi_multimeter_do_mgl)","salinity (ppm, water_rangers_pen_type_salinity_meter_ppm)","conductivity (us_cm, other_pen_type_conductivity_meter_us_cm)","water_temperature (deg_c, water_rangers_pen_type_temperature_meter)","total_dissolved_solids_tds (ppm, other_pen-type_tds_meter)","hardness (mg_l, api_saltwater_hardness)","nitrates (mg_l, api_saltwater_nitrates)","nitrites (mg_l, api_saltwater_nitrites)","e_coli (cfu_per_100ml, idexx_colilert_2000_e_coli_geomean)"
58948,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-08-28,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.82,7.4,24.91,39071,16,25402.5,,,,2293.27
58949,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-08-28,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.88,7.6,20.54,32763,19.1,21294,0,0,0,154.66
58950,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-08-28,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.82,7.4,24.91,39071,16,25402.5,,,,78.79463796
58951,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-04,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,"",Reviewed: quality check complete,,7.91,7.4,21.27,33840,19.5,21996,40,0,0,4839.13
58952,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-04,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.74,7.1,20.98,33422,18.9,21710,40,0,0,202.68
58953,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-04,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,8.07,8.42,20.73,33045,19.08,21482.5,40,0,0,29.53428483
58954,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-11,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.65,7.21,19.64,31455,17.7,20501,80,0,0,422.36
58955,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-11,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 29462μS/cm is below the normal range of 30000.0μS/cm.,7.9,7.52,18.28,29462,17.7,19155,0,0,0,21.16
58956,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-11,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.95,7.58,19.72,31574,17.7,20520.5,40,0,0,37.82316763
58957,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-18,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.52,6.6,21.6,34321,15.2,22295,120,0,0,4902.37
